"Method","QuantileLevel","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max."
"ALD",10,-5.53226643551793,-3.08396452165022,-2.65340198282701,-2.65946034815694,-2.18075611234697,-0.221707744664342
"ALD",25,-5.04794629122652,-2.61862088492167,-2.18953481472795,-2.19445191771114,-1.72372951702035,0.226347219278058
"ALD",50,-4.33646792536219,-1.9435511090724,-1.52076355304546,-1.52382341376732,-1.07004844098742,0.870542619710066
"ALD",75,-3.24688985038169,-0.966796555908138,-0.542309999318251,-0.563569310432266,-0.132533833898255,1.77003052284395
"ALD",90,-2.11523658877482,0.115466886868477,0.537810116300886,0.510355186118985,0.931339738325991,2.79693161413061
"NEB",10,-5.40203096188088,-3.50450751930953,-3.17606580364812,-3.17051354019375,-2.79740135895552,-1.07682882091737
"NEB",25,-4.64561918617387,-2.74942295448968,-2.39157635374202,-2.40717035975862,-2.04457092527137,-0.317096089126996
"NEB",50,-3.76448067337959,-1.89219279196277,-1.55207158545691,-1.55359105898531,-1.16752138059473,0.534466540671733
"NEB",75,-2.88162170701148,-1.0246643143619,-0.661480128244409,-0.686928128163687,-0.30315398406379,1.39631314613908
"NEB",90,-2.06708543233446,-0.252192748092077,0.137143679214825,0.0972225241364594,0.503814075728055,2.15981496333732
"LIGPD",10,-5.29223289161757,-3.08545675955851,-2.72444631915633,-2.72476874121971,-2.43768771601398,-0.330759085627687
"LIGPD",25,-4.8756436178661,-2.71044421488802,-2.36317612936688,-2.35872037181514,-2.07587530025144,0.0866003268845237
"LIGPD",50,-4.36159267675646,-2.19631798261519,-1.85088281738507,-1.85787218690423,-1.5875020811743,0.605028473481583
"LIGPD",75,-3.62359811271321,-1.46847201547561,-1.11064897413066,-1.12178486839054,-0.855423571630774,1.34377371861468
"LIGPD",90,-2.63239877285521,-0.490783744043407,-0.141689992059775,-0.143395206382899,0.121376945719649,2.33862931413299
